N,Minimal Required,First Working Set
1,0,[],0
2,1,"(1, 0, 2)",1
3,1,"(1, 0, 3)",2
5,2,"(1, 2, 0, 5)",4
4,2,"(1, 2, 0, 4)",3
6,2,"(1, 4, 0, 6)",2
7,3,"(1, 2, 3, 0, 7)",12
8,3,"(1, 2, 5, 0, 8)",8
9,3,"(1, 2, 6, 0, 9)",4
11,4,"(1, 2, 3, 7, 0, 11)",30
10,4,"(1, 2, 3, 6, 0, 10)",38
13,4,"(1, 2, 6, 10, 0, 13)",6
12,4,"(1, 2, 3, 8, 0, 12)",14
15,5,"(1, 2, 3, 4, 10, 0, 15)",80
16,5,"(1, 2, 3, 8, 12, 0, 16)",32
14,5,"(1, 2, 3, 4, 9, 0, 14)",130
17,5,"(1, 2, 3, 8, 13, 0, 17)",12
19,6,"(1, 2, 3, 4, 9, 14, 0, 19)",326
18,6,"(1, 2, 3, 4, 5, 12, 0, 18)",500
20,6,"(1, 2, 3, 4, 10, 15, 0, 20)",150
22,6,"(1, 2, 3, 8, 13, 18, 0, 22)",18
23,6,"(1, 2, 11, 15, 18, 21, 0, 23)",4
21,6,"(1, 2, 3, 4, 10, 16, 0, 21)",66
25,7,"(1, 2, 3, 4, 5, 12, 19, 0, 25)",460
24,7,"(1, 2, 3, 4, 5, 12, 18, 0, 24)",944
26,7,"(1, 2, 3, 4, 10, 15, 21, 0, 26)",166
27,7,"(1, 2, 3, 4, 10, 16, 22, 0, 27)",56
28,7,"(1, 2, 13, 18, 21, 24, 27, 0, 28)",12
29,7,"(1, 2, 14, 18, 21, 24, 27, 0, 29)",6
30,8,"(1, 2, 3, 4, 5, 11, 18, 24, 0, 30)",2036
31,8,"(1, 2, 3, 4, 5, 12, 18, 25, 0, 31)",890
32,8,"(1, 2, 3, 4, 5, 12, 19, 26, 0, 32)",304
33,8,"(1, 2, 3, 4, 10, 16, 22, 28, 0, 33)",120
34,8,"(1, 2, 3, 15, 20, 24, 28, 31, 0, 34)",20
35,8,"(1, 2, 17, 21, 24, 27, 30, 33, 0, 35)",10
36,8,"(1, 3, 6, 13, 20, 27, 31, 35, 0, 36)",2
37,9,"(1, 2, 3, 4, 5, 6, 14, 22, 30, 0, 37)",2678
38,9,"(1, 2, 3, 4, 5, 12, 19, 25, 32, 0, 38)",974
39,9,"(1, 2, 3, 4, 5, 12, 19, 26, 33, 0, 39)",362
40,9,"(1, 2, 3, 4, 10, 17, 24, 29, 35, 0, 40)",100

